"emp_id","emp_title","emp_length"
799,"US Computer Corp. - Chevron","5 years"
800,"Madison County Engineers","8 years"
801,"bal gas propane","1 year"
802,"Consolidated Container","10+ years"
803,"General Moly Inc","1 year"
804,"Mahershalash LLC dba Frullati cafe","5 years"
805,"LAUSD","10+ years"
806,"Department of the Army","10+ years"
807,"","3 years"
808,"CMC Capitol City Steel","10+ years"
809,"State if Calif","10+ years"
810,"Citizens Bank","9 years"
811,"RedBrick Health","2 years"
812,"Dept of Homeland Security","1 year"
813,"Booz Allen Hamilton","2 years"
814,"Jacob Inc","10+ years"
815,"Macy's","2 years"
816,"United Health Care","2 years"
817,"Farmer Brothers Coffee Co.","4 years"
818,"TinWerks Corporation","< 1 year"
819,"GameStop","4 years"
820,"jerry leigh","5 years"
821,"Self Employed","4 years"
822,"Army","8 years"
823,"Nutrimedia, LLC","7 years"
824,"In Home Support Services","4 years"
825,"MSCI Inc","1 year"
826,"american pure spring water","10+ years"
827,"M&I Bank","10+ years"
828,"AT&T","10+ years"
829,"New York City Transit Authority","10+ years"
830,"u.s. postal service","10+ years"
831,"Kmart pharmacy","10+ years"
832,"DST Output","10+ years"
833,"State Of Florida","10+ years"
834,"DW McCasland","10+ years"
835,"Wackenhut","2 years"
836,"lowes home center","3 years"
837,"University of Georgia","4 years"
838,"spins","4 years"
839,"Hall Jaffe and Clayton","5 years"
840,"Pellenc America Inc.","5 years"
841,"Salem Keizer Public Schools","7 years"
842,"CH Bakers","8 years"
843,"ThyssenKrupt Elevators Americas","8 years"
844,"Lockheed Martin","8 years"
845,"US Postal Service","10+ years"
846,"UPS","10+ years"
847,"Walmart Distribution Center","10+ years"
848,"Verizon","10+ years"
849,"GBA","2 years"
850,"Sears","2 years"
851,"Lowe's Home Improvement","7 years"
852,"Valero Energy Corp.","8 years"
853,"South Lake Hospital","10+ years"
854,"","5 years"
855,"NYC trasit","3 years"
856,"continental airlines","10+ years"
857,"The Palace Renaissance Royale","2 years"
858,"One Source Risk Management","2 years"
859,"Tech Data Corporation","2 years"
860,"PricewaterhouseCoopers LLP","3 years"
861,"The Hartford","9 years"
862,"Wells Fargo (TekSystems)","< 1 year"
863,"UPS","10+ years"
864,"American Safety Council, Inc","3 years"
865,"Safeway","5 years"
866,"City of Manhattan Beach","9 years"
867,"Butler International","1 year"
868,"Coachella Valley Unified School District","5 years"
869,"Law Firm with offices NY, LA, DC and overseas","10+ years"
870,"TSA","4 years"
871,"Bank of America","4 years"
872,"FirstCaribbean International Bank owned by CIBC","10+ years"
873,"US Postal Service","9 years"
874,"ARCADIS","4 years"
875,"Oasis Landscape Construction","6 years"
876,"Pep Boys Auto","6 years"
877,"US Xpress Enterprises","1 year"
878,"RM Contracting SISCA Northeast","< 1 year"
879,"ganley auto","4 years"
880,"AON Corporation","< 1 year"
881,"PALM BEACH GARDENS MED CTR","10+ years"
882,"School City of Michawaka","< 1 year"
883,"UPS","10+ years"
884,"Microsoft Corporation","2 years"
885,"ups","6 years"
886,"HSBC","9 years"
887,"Self","6 years"
888,"The Rock Church","10+ years"
889,"Nestle","10+ years"
890,"North Salem Central School District","10+ years"
891,"Paulding County School System","< 1 year"
892,"WinWare","9 years"
893,"Arkansas Department of Education","2 years"
894,"military","5 years"
895,"Department of Defense","10+ years"
896,"forest hills equipment","10+ years"
897,"Blue Cross Blue Shield of Michigan","4 years"
898,"Carnegie Mellon","1 year"
899,"Crothall","1 year"
900,"the Brearley School","10+ years"
901,"BVK Gaming Inc","2 years"
902,"Psychology Software Tools","2 years"
903,"US Customs and Border Protection","3 years"
904,"AAA Medical & Oxygen Supply","3 years"
905,"Department of Homeland Security","3 years"
906,"Second Nature Entrada Wilderness Program","3 years"
907,"Merkley and Partners","8 years"
908,"joint healing","< 1 year"
909,"Fraser Brothers Group LLC","< 1 year"
910,"Allstate","5 years"
911,"Sears","1 year"
912,"Dive N Dog","3 years"
913,"port logistics group","3 years"
914,"","6 years"
915,"Office Depot","8 years"
916,"Nike Golf","< 1 year"
1051,"Suburban Sanitation","10+ years"
917,"National Packaging Corporation","< 1 year"
918,"Princeton University","4 years"
919,"Marriott International","5 years"
920,"Alamo for Citizens","1 year"
921,"Visa","1 year"
922,"US Department of Homeland Security","1 year"
923,"United Airlines","10+ years"
924,"Brownsvile ISD","2 years"
925,"Amerigas","3 years"
926,"Infosys Limited","7 years"
927,"SunBridge Healthcare","9 years"
928,"Yamada Research Services","< 1 year"
929,"Royal Bank of Scotland","< 1 year"
930,"ConAgra Fooda","< 1 year"
931,"Paul, Hastings, Janovsky & Walker","< 1 year"
932,"J & W","4 years"
933,"United States Patent and Trademark","5 years"
934,"Bear Canyon Health Circle","6 years"
935,"KPMG, LLP","< 1 year"
936,"Dukenet","< 1 year"
937,"Revilo Aerospace","4 years"
938,"Department of Homeland Security","8 years"
939,"Kids II","3 years"
940,"Best Buy","2 years"
941,"Grainger, Inc.","1 year"
942,"","2 years"
943,"Citibank","4 years"
944,"Robinson helicopter company","< 1 year"
945,"Microsoft","2 years"
946,"Petco","3 years"
947,"Autozone","3 years"
948,"MattsonJack","3 years"
949,"Citrix Systems Inc","5 years"
950,"Target","3 years"
951,"Reddwerks Corporation","3 years"
952,"","< 1 year"
953,"Herman Cook Volkswagen","1 year"
954,"ADP","3 years"
955,"Fedex","5 years"
956,"mts","10+ years"
957,"United parcel service","10+ years"
958,"shoprite","10+ years"
959,"New Mexico State university","10+ years"
960,"Memorial Health system","10+ years"
961,"City of Tempe","4 years"
962,"Aries Marine","1 year"
963,"bremner","5 years"
964,"HOLMES HONDA","10+ years"
965,"JDA Software Group, Inc.","10+ years"
966,"brickers famous fries","4 years"
967,"Navistar Inc.","1 year"
968,"BOYD BROS","3 years"
969,"BJ's Money Source","10+ years"
970,"peak mobility","5 years"
971,"PHH Mortgage","4 years"
972,"solil management","5 years"
973,"Mandalay Bay Resort & Casino","6 years"
974,"mta","9 years"
975,"U.S. Army","3 years"
976,"NSLIJ","3 years"
977,"JCPenney","10+ years"
978,"North GA lock and Key","1 year"
979,"brierley electric","8 years"
980,"AMDETECH","7 years"
981,"Westlake Ace Hardware","10+ years"
982,"Pala Casino","7 years"
983,"cb richard ellis","3 years"
984,"showtime consessions supply","1 year"
985,"Newcomb Spring","10+ years"
986,"UPS","10+ years"
987,"The Markets llc.","10+ years"
988,"atmos energy","10+ years"
989,"FL Dept of Corrections","10+ years"
990,"polker design services","10+ years"
991,"nevada D.O.T","10+ years"
992,"Blanchard Valley Farmers Co-Op","10+ years"
993,"nh dept of safety","10+ years"
994,"Centurylink","10+ years"
995,"","2 years"
996,"Crane America","4 years"
997,"Bacon County Highschool","4 years"
998,"US Postal Service","5 years"
999,"Tektronix","5 years"
1000,"Tucker Ellis & West LLP","6 years"
1001,"USPS","6 years"
1002,"Mifflin Township Division of Fire","6 years"
1003,"Knepper Press","8 years"
1004,"network building and consulting","9 years"
1005,"DC Welding","< 1 year"
1006,"U.S. Army Civil Service","4 years"
1007,"Berry Plastics","10+ years"
1008,"City of San Francisco","10+ years"
1009,"City of Cedar City","3 years"
1010,"sysco southeast florida","5 years"
1011,"Data Mail","7 years"
1012,"bay valley foods","8 years"
1013,"jd school","8 years"
1014,"General Electric","6 years"
1015,"Abe Hatt const.","8 years"
1016,"Titan Roofing Inc.","1 year"
1017,"Contour Global","1 year"
1018,"Domtar","10+ years"
1019,"Samtex (USA) Inc","10+ years"
1020,"Local 825 Operating Engineers","10+ years"
1021,"EIMC","10+ years"
1022,"Stillwater Fire Department","10+ years"
1023,"Cheshire Medical Center","10+ years"
1024,"Constellation Energy","10+ years"
1025,"Freelance","10+ years"
1026,"self","10+ years"
1027,"MCG Electronics","10+ years"
1028,"columbus div. of fire","10+ years"
1029,"Roxanne Labs","2 years"
1030,"SANOFI PASTEUR, INC.","2 years"
1031,"washington honda","2 years"
1032,"Drucker and Falk","2 years"
1033,"Sprockets LLC","3 years"
1034,"Prime Therapeutics","3 years"
1035,"","3 years"
1036,"Bar S Foods","3 years"
1037,"US Dept. of Justice","4 years"
1038,"lexus of orlando","5 years"
1039,"Livable Forest Fence","5 years"
1040,"Millwright local 1263","5 years"
1041,"custom machine and fabrication","5 years"
1042,"steelville r3 school","6 years"
1043,"Grande Ronde Hospital","7 years"
1044,"URS","8 years"
1045,"Aaron's Autowerks","9 years"
1046,"HearUSA","< 1 year"
1047,"northland transportation","8 years"
1048,"Milla Construction Systems","10+ years"
1049,"Self Employed","10+ years"
1050,"ford motor company","10+ years"
1052,"Smithfield Foods","3 years"
1053,"Engility","5 years"
1054,"Center Mfg","8 years"
1055,"HILLMAN GROUP","9 years"
1056,"ISR Group","< 1 year"
1057,"Local 501 Plumbers, Pipefitters","< 1 year"
1058,"carolina health care","< 1 year"
1059,"RR Donnelley","10+ years"
1060,"RCGroups.com","3 years"
1061,"Bellaire Local Schools","3 years"
1062,"dive n dog","4 years"
1063,"Correction Corporation of America","4 years"
1064,"aldridge gardens","5 years"
1065,"Trane","6 years"
1066,"","8 years"
1067,"XO COMMUNICATIONS","8 years"
1068,"fire department city of new york","5 years"
1069,"Independent Group Realty","10+ years"
1070,"PILGRIM POWERSPORTS","< 1 year"
1071,"southern wine and spirits","10+ years"
1072,"Monterey Airport Dist Police","10+ years"
1073,"IDG Enterprise - Network World","3 years"
1074,"Bartow County Board of Education","5 years"
1075,"angelo elia","6 years"
1076,"CSX","< 1 year"
1077,"exxonmobil research and engineering","10+ years"
1078,"Comcast","3 years"
1079,"yrc","10+ years"
1080,"Penske Logistics","2 years"
1081,"MI Department of Treasury","2 years"
1082,"bikram yoga boca raton","5 years"
1083,"CT POWER AND SPORT","10+ years"
1084,"RPS/Pfizer","2 years"
1085,"BICE UNIVERSAL","5 years"
1086,"IRSC","10+ years"
1087,"pan american tool corp","10+ years"
1088,"Bethel Baptist Church","10+ years"
1089,"Servpro of St. George","5 years"
1090,"City of Moultrie","6 years"
1091,"caci, us goverment contractor","1 year"
1092,"Summit Polymers, Inc","8 years"
1093,"Self","2 years"
1094,"Elcor Construction, Inc","< 1 year"
1095,"CITY OF ROME","7 years"
1096,"Mature Services","5 years"
1097,"McKesson Specialty Health","6 years"
1098,"Sloan Ranch","10+ years"
1099,"Mass General Hospital","4 years"
1100,"Marel","4 years"
1101,"DAI","9 years"
1102,"newsweek","< 1 year"
1103,"Estes Express Lines","1 year"
1104,"Fairleigh Dickinson University","10+ years"
1105,"Electrical Contractors","10+ years"
1106,"apartment management associates llc","10+ years"
1107,"Deep Creek Foodland","3 years"
1108,"Boathouse Waterfront Dining","1 year"
1109,"EXIT REALTY PREMIER","2 years"
1110,"Dr.Andriani's","5 years"
1111,"leonard isd","2 years"
1112,"J.D.Neuhaus L.P","10+ years"
1113,"Atec Ambulance","2 years"
1114,"Roys Body Shop","7 years"
1115,"northside veterinary clinic","5 years"
1116,"Trinity EMS","4 years"
1117,"sullivan tire","2 years"
1118,"Henry Ford Hospital","10+ years"
1119,"PHS corporation","4 years"
1120,"Rost Tuscan","5 years"
1121,"Sargent Manufacturing Co.","1 year"
1122,"","2 years"
1123,"Pampa regional medical center","2 years"
1124,"Off-Grid Electric","3 years"
1125,"West Coast Property Management","3 years"
1126,"Mariani Landscape","4 years"
1127,"Performance Telcom Inc","5 years"
1128,"California Harley Davidson","5 years"
1129,"O'Connor Chevrolet, inc.","7 years"
1130,"","7 years"
1131,"Professional Packers","7 years"
1132,"Owens Illinois, Inc.","8 years"
1133,"BB&T","8 years"
1134,"CT Networks","< 1 year"
1135,"Brookshire Concrete","5 years"
1136,"Norandex Bldg Material Dist Co","7 years"
1137,"fredericks","3 years"
1138,"Sutter Connect","10+ years"
1139,"Rough Stone Software","1 year"
1140,"Motor Excellence","2 years"
1141,"KidsII","5 years"
1142,"Biodot","5 years"
1143,"ICF International","7 years"
1144,"AVI-SPL","9 years"
1145,"Oxford International","< 1 year"
1146,"National Instruments/Staffmark","< 1 year"
1147,"Lego Systems Inc","< 1 year"
1148,"north central construction","1 year"
1149,"Lakeside Bottling Company","2 years"
1150,"GALLO WINERIES","4 years"
1151,"Lowe's","5 years"
1152,"BostonIVF","6 years"
1153,"VILLAGE OF ELMSFORD","8 years"
1154,"Gemm Communications","8 years"
1155,"Research Data Group","< 1 year"
1156,"Mesquite Creek","3 years"
1157,"Kelly Services","3 years"
1158,"cafe ba ba reeba","6 years"
1159,"wyoming department of corrections","4 years"
1160,"antana lining","2 years"
1161,"Regions Financial Corporation","1 year"
1162,"RCI Sound Systems","8 years"
1163,"Holavision","2 years"
1164,"AlliedBarton Security Services","6 years"
1165,"Quantlab financial","2 years"
1166,"lemon fashion","2 years"
1167,"sealy mattress","4 years"
1168,"Hill Phoenix","2 years"
1169,"Metro PCS","3 years"
1170,"greg bailey enterprises","6 years"
1171,"Logan Center","< 1 year"
1172,"Camco Manufacturing Inc","3 years"
1173,"NYC Dept of Education","10+ years"
1174,"GC Services L.P.","7 years"
1175,"Cooper Mechanical","3 years"
1176,"Intermediate Unit 1","3 years"
1177,"miller appliance","10+ years"
1178,"SQUEAKY CLEAN","10+ years"
1179,"Black Box Network Services","10+ years"
1180,"Arkema, Inc.","10+ years"
1181,"donley concrete","4 years"
1182,"west penn allegheny health system","10+ years"
1183,"fine lines co","5 years"
1184,"Benton Foundry, Inc","10+ years"
1185,"VF Corp","1 year"
1186,"La Mantia Enterprises Inc.","10+ years"
1187,"Power Design inc","5 years"
1188,"department of defense","10+ years"
1189,"cajun country computers","5 years"
1190,"Fees contruction","6 years"
1191,"FUCILLO HYUNDAI","1 year"
1192,"Six degrees Innovations LLC","1 year"
1193,"Citryst","1 year"
1194,"Sonoco Products Company","3 years"
1195,"Nassau University Medical Center","6 years"
1196,"iws","< 1 year"
1197,"The AFRO/Loop21/Freelance Work","< 1 year"
1198,"New York Life","2 years"
1199,"Step by Step Bail Bonds","3 years"
1200,"Union Carpenter","2 years"
1201,"Assured Self Storage","4 years"
1202,"United States Army","7 years"
1203,"Library Cataloging Solutions","1 year"
1204,"Haug Optometry","9 years"
1205,"BME satellites and solar","3 years"
1206,"holiday inn express","4 years"
1207,"American Airlines, Inc","10+ years"
1208,"Sprint","4 years"
1209,"Command Security Corporation","6 years"
1210,"KForce","< 1 year"
1211,"Ridewell Suspensions","< 1 year"
1212,"BeyondTrust Software","3 years"
1213,"Poolboss.com","1 year"
1214,"SmartDrive Systems","1 year"
1215,"PitNey Bowes","10+ years"
1216,"Allegheny Dimension","10+ years"
1217,"Harvey building products","10+ years"
1218,"Dominion Virginia Power","10+ years"
1219,"Banner Health","2 years"
1220,"elvins mechanical","3 years"
1221,"BMG Conveyor Services","6 years"
1222,"interstate elec.","7 years"
1223,"SecTek","1 year"
1224,"aspen waste systems","10+ years"
1225,"Pajaro Valley Unified School District","10+ years"
1226,"Toys-r-us","10+ years"
1227,"city of hillsboro","10+ years"
1228,"Kaiser Permanente","10+ years"
1229,"traer joes","10+ years"
1230,"Five Star Pest Control","3 years"
1231,"Diagnostic Imaging Centers P.A.","4 years"
1232,"Morrison Architectural Signs","4 years"
1233,"Ganeinu Preschool","5 years"
1234,"MILITARY","5 years"
1235,"City Beverage of Hyde Park LTD","5 years"
1236,"tenet health","7 years"
1237,"Shapiro & Perez, LLC","8 years"
1238,"carefusion","< 1 year"
1239,"army fleet support","4 years"
1240,"Hilton New Orleans Riverside","10+ years"
1241,"Corinthian Colleges Inc","2 years"
1242,"Homeland Secure IT","2 years"
1243,"Iron Mountain","3 years"
1244,"Brown Lumber","4 years"
1245,"Progress Energy","6 years"
1246,"","7 years"
1247,"BlueCross BlueShield of SC","9 years"
1248,"package plus printing","10+ years"
1249,"Los Angeles County","10+ years"
1250,"Favorite Associates Inc","2 years"
1251,"Diversified Tooling Innovations","3 years"
1252,"Progressive Heating, Cooling, & Refriger","6 years"
1253,"LSAC","10+ years"
1254,"Pahrump Valley air","1 year"
1255,"Walmart Stores Inc","10+ years"
1256,"Thompson Automotive","1 year"
1257,"tulsa overhead door","6 years"
1258,"Evergreen Gardens","3 years"
1259,"west park elementary school","5 years"
1260,"Hitachi Data Systems","< 1 year"
1261,"New Jersey State","10+ years"
1262,"The Dale Association","2 years"
1263,"AAA/Energy Insurance Agency","1 year"
1264,"Nationwide Industries","3 years"
1265,"Walmart Distribution","6 years"
1266,"WANHO Mfg.","7 years"
1267,"American Auto Air","9 years"
1268,"Volt Technical Resources","1 year"
1269,"valvoline instant oil change","5 years"
1270,"Ector County Indep.School Dist","1 year"
1271,"Village of Stone Park","10+ years"
1272,"WELLS FARGO","< 1 year"
1273,"WGPS, Inc","4 years"
1274,"FENNESSEY PROPETIES, LLC","10+ years"
1275,"rayovac","10+ years"
1276,"Hamden Fire Dept.","10+ years"
1277,"Highline Imports LLC","< 1 year"
1278,"ALL american auto","10+ years"
1279,"The Gambrinus Company","10+ years"
1280,"United Methodist Church","10+ years"
1281,"united states postal service","10+ years"
1282,"KLA-Tencor","5 years"
1283,"Walmart","10+ years"
1284,"U.S Pretrial Services","7 years"
1285,"Import Auto Geeks","5 years"
1286,"valu home centers","3 years"
1287,"Holiday Retirement","< 1 year"
1288,"Activated Ministries","4 years"
1289,"Associated Earth Sciences","6 years"
1290,"Sapien LLC","1 year"
1291,"University Hospital","1 year"
1292,"Carelli construction co","1 year"
1293,"Guy M Turner","10+ years"
1294,"HealthPort","4 years"
1295,"School Investment Properties, inc.","4 years"
1296,"IMC","9 years"
1297,"Sail at Ferncliff Manor","< 1 year"
1298,"PayPal","< 1 year"
1299,"Rugby Middle School","3 years"
1300,"Aerospace Technolgies Group","< 1 year"
1301,"DCMO Boces","< 1 year"
1302,"Sundance Institute","2 years"
1303,"Printmail Systems","5 years"
1304,"Best Buy","2 years"
1305,"founding farmers","3 years"
1306,"Chapman Medical Center","4 years"
1307,"CH2M Hill","5 years"
1308,"Convergys Corporation","< 1 year"
1309,"Regence","2 years"
1310,"zion lutheran school","8 years"
1311,"Skanska USA","< 1 year"
1312,"Sprint","1 year"
1313,"US postal service","10+ years"
1314,"University of California San Francisco","10+ years"
1315,"Realty Executives Success","2 years"
1316,"The Providence Plan","2 years"
1317,"RCS Learning Center","< 1 year"
1318,"pinto brothers disposal","4 years"
1319,"aris inc","9 years"
1320,"OutletPC","< 1 year"
1321,"Burton Hydro-Vac Services","5 years"
1322,"first student bus co.","1 year"
1323,"Phoenix East Aviation","1 year"
1324,"United States Air Force","3 years"
1325,"Goodshepered","1 year"
1326,"WPI","2 years"
1327,"Jefferson Parish Public Schools","5 years"
1328,"Leapfrog Online","7 years"
1329,"The Blackstone Group","< 1 year"
1330,"Exempla Health Care","1 year"
1331,"p b & m shekel, inc","5 years"
1332,"Kona Grill","1 year"
1333,"Veterans of Foreign Wars","2 years"
1334,"US Air Force","2 years"
1335,"Coast BMW Nissan","< 1 year"
1336,"Shentel","1 year"
1337,"Pest Bear","1 year"
1338,"Sunny Sports, Inc","10+ years"
1339,"Catalina Conservancy","6 years"
1340,"TeamSoft, Inc","< 1 year"
1341,"chambrel at montrose","< 1 year"
1342,"Town of Medway MA.DPS","4 years"
1343,"FLORIDA DENTAL AND DENTURE CENTER","< 1 year"
1344,"Cornerstone Physician Staffing","4 years"
1345,"Bath & Body Works","6 years"
1346,"Hilton Baltimore","3 years"
1347,"Mount Holyoke College","4 years"
1348,"EyeMasters","4 years"
1349,"Logoworks","9 years"
1350,"SCC","5 years"
1351,"APS HealthCare","1 year"
1352,"Kaiser Foundation Health Plan","3 years"
1353,"laborers local  #91","10+ years"
1354,"ALPHA MATERIALS INC.","7 years"
1355,"Power Toyota","7 years"
1356,"surerhands lift and care","8 years"
1357,"self employed","6 years"
1358,"Illinois Army National Guard","10+ years"
1359,"United States Postal Service","10+ years"
1360,"continental airlines","10+ years"
1361,"Raytheon","7 years"
1362,"Advanced Bio-Mineral Technologies","1 year"
1363,"sarah tuxis","3 years"
1364,"Rillago Home Health Services","2 years"
1365,"hyatt select","2 years"
1366,"Jamba Juice","3 years"
1367,"Walmart","1 year"
1368,"Cablevision of New York","10+ years"
1369,"Boeing","10+ years"
1370,"Department of Children & Families","3 years"
1371,"board of ed","5 years"
1372,"Nissan North America","7 years"
1373,"Kroger","5 years"
1374,"Lehigh Valley hospital","1 year"
1375,"Medline","4 years"
1376,"Hansgrohe","4 years"
1377,"PROSTEP INC","4 years"
1378,"Microsoft","5 years"
1379,"Los Lunas Public Schools","6 years"
1380,"Harvard University","3 years"
1381,"USDA/NRCS","3 years"
1382,"SAP America Inc","10+ years"
1383,"ConocoPhillips","8 years"
1384,"UPS","10+ years"
1385,"Hensel Phelps Construction Company","10+ years"
1386,"3m","10+ years"
1387,"City of Thousand Oaks","10+ years"
1388,"Boeing","10+ years"
1389,"City of Columbus","10+ years"
1390,"U.S. Postal Service","10+ years"
1391,"Cisco Systems","10+ years"
1392,"City of Newburgh","8 years"
1393,"American Seafoods International","< 1 year"
1394,"nj department of corrections","10+ years"
1395,"Clark County School District","2 years"
1396,"US BORDER PATROL","5 years"
1397,"harvey  vogel  mfg.","7 years"
1398,"CHA Consulting, Inc","7 years"
1399,"mount sinai hospital","9 years"
1400,"Progressive CAD Designs","2 years"
1401,"Giant","4 years"
1402,"Domtar","10+ years"
1403,"U.S. Attorney's Office","3 years"
1404,"Niebauer Dental Care","5 years"
1405,"ARMY","10+ years"
1406,"IN N OUT BURGER","7 years"
1407,"Meadwestvaco","10+ years"
1408,"Paris Uniform Services","4 years"
1409,"AVW Technologies","4 years"
1410,"Pernsteiner & Sons Fabrication","6 years"
1411,"Maxwell Trucking & Excavating Inc.","8 years"
1412,"US Post Office","10+ years"
1413,"Belkin International Inc","2 years"
1414,"Intercontinental Hotel Group","2 years"
1415,"SAIC","3 years"
1416,"","4 years"
1417,"American Express","4 years"
1418,"Select Comfort","7 years"
1419,"CVS","9 years"
1420,"Wal-Mart D.C.","1 year"
1421,"Aurora Public Schools","10+ years"
1422,"Alamosa Public Schools","7 years"
1423,"Mercedes Benz USA","6 years"
1424,"US Bank","3 years"
1425,"Scientific Research Corporation","4 years"
1426,"Pratt Whitney","10+ years"
1427,"Duke University Health Systems","3 years"
1428,"US National Park Service","7 years"
1429,"PNC Mortgage","6 years"
1430,"Verizon Business","10+ years"
1431,"USPS","< 1 year"
1432,"Shell Oil Company","2 years"
1433,"sears holdings corp","5 years"
1434,"Ralphs Grocery Co.","5 years"
1435,"Vanguard Group","5 years"
1436,"24 seven","< 1 year"
1437,"Farmers Insurance (Zurich)","3 years"
1438,"City of Lynchburg","6 years"
1439,"County of Riverside","2 years"
1440,"AP Green","7 years"
1441,"Booz Allen Hamilton","8 years"
1442,"Capgemini","2 years"
1443,"Aetna","4 years"
1444,"nestle waters (arrowhead)","4 years"
1445,"CVS","4 years"
1446,"Best Buy","2 years"
1447,"AT&T","10+ years"
1448,"walmart","5 years"
1449,"Golden Bell Management","7 years"
1450,"Veoila Transportation","10+ years"
1451,"atlantic express","10+ years"
1452,"Topeka Ear Nose & Throat","2 years"
1453,"Hoist and Crane Systems Inc","2 years"
1454,"nysdoc","6 years"
1455,"His Brush Painting Company","10+ years"
1456,"Southeastern Freight Lines","3 years"
1457,"midwest family","10+ years"
1458,"Del Mar Carpet One","6 years"
1459,"Clay County Medical Center","5 years"
1460,"Coastal Pet Products","10+ years"
1461,"ConocoPhillips","10+ years"
1462,"Equipment Transport LLC.","2 years"
1463,"medtech group","2 years"
1464,"Embassy of Italy","2 years"
1465,"glades health care","3 years"
1466,"brightwood","8 years"
1467,"Autozone","1 year"
1468,"East side showroom","2 years"
1469,"Pool & Spa Rx","6 years"
1470,"new york container terminal","8 years"
1471,"","1 year"
1472,"SunnySide Nursing Center","9 years"
1473,"army fleet support","10+ years"
1474,"Estes Express Lines","1 year"
1475,"Saruski Design Studio","2 years"
1476,"millers chevron","< 1 year"
1477,"GFI Software","5 years"
1478,"US Navy","7 years"
1479,"US Dept of Commercce","10+ years"
1480,"JCJ Architecture","< 1 year"
1481,"Utiliquest","< 1 year"
1482,"Othon, Inc","10+ years"
1483,"People's Incorporated","1 year"
1484,"Denny's","4 years"
1485,"United States Postal Service","8 years"
1486,"Georgetown College","2 years"
1487,"UNITED WAY","2 years"
1488,"A&A Sheetmetal Contractors Corp.","6 years"
1489,"Web Creations & Consulting, LLC","4 years"
1490,"Hebrew Home and Hospital","5 years"
1491,"DOL Maint Div","1 year"
1492,"Lusk Services, Inc.","10+ years"
1493,"time warner cable","10+ years"
1494,"DCM Data Systems","< 1 year"
1495,"Nypd","10+ years"
1496,"extriors by brady","10+ years"
1497,"Woodward Hrt","10+ years"
1498,"","10+ years"
1499,"Target","3 years"
1500,"Value Air","10+ years"
1501,"Winfield Pathology Consultants","2 years"
1502,"Oakridge homes","< 1 year"
1503,"GREG BARRETT DRYWALL","7 years"
1504,"Sharp Lawn Inc.","10+ years"
1505,"Helicoil","10+ years"
1506,"City of Santa Monica","9 years"
1507,"Scott & White","1 year"
1508,"CA Technologies","7 years"
1509,"DCAA","2 years"
1510,"USAF Civil Service","2 years"
1511,"Dollar Tree Stores","5 years"
1512,"Genocea Biosciences","3 years"
1513,"SAP","2 years"
1514,"Koi Restaurant","6 years"
1515,"Bellflower convalecent hospital","10+ years"
1516,"Insight Global","< 1 year"
1517,"Winghouse Corporation","3 years"
1518,"OSSI","6 years"
1519,"Travelers Insurance","7 years"
1520,"New York Living Solutions","6 years"
1521,"Natex Architects","7 years"
1522,"Gucci Group/ Yves Saint Laurent","1 year"
1523,"Wal-Mart","9 years"
1524,"Midnight","10+ years"
1525,"King Soopers (Kroger Co)","10+ years"
1526,"Malvern School of Medford","3 years"
1527,"Best Buy","< 1 year"
1528,"Carroll County Public Schools","10+ years"
1529,"Infosys Technologies Ltd.","1 year"
1530,"Aetna","10+ years"
1531,"The McGraw-Hill Companies","1 year"
1532,"buckhead family dentistry","5 years"
1533,"vons","10+ years"
1534,"CVS/pharmacy","2 years"
1535,"PNC Financial Services","2 years"
1536,"City of Hillsboro","10+ years"
1537,"Marshall Realty","5 years"
1538,"Feld Entertainment","2 years"
1539,"walgreens","5 years"
1540,"MetLife","3 years"
1541,"","9 years"
1542,"PURE FLO WATER COMPANY","5 years"
1543,"BMW","3 years"
1544,"Eel River Brewing Co.","10+ years"
1545,"USD 362","< 1 year"
1546,"Windsor Marketing Group","1 year"
1547,"Sigma Relocation Group","9 years"
1548,"Best buy","4 years"
1549,"WA State vDSHS","6 years"
1550,"Ajel Technologies Inc","2 years"
1551,"nor cal beverage","2 years"
1552,"penske logistics","5 years"
1553,"Social Security Administration - ODAR","1 year"
1554,"Hillstone Restaurant Group","8 years"
1555,"CIty of Alpharetta","10+ years"
1556,"First National Bank of St. Louis","10+ years"
1557,"National Park Service","1 year"
1558,"St. Joseph Hospital","10+ years"
1559,"Accenture","5 years"
1560,"Dream Town","4 years"
1561,"Latique handbag","1 year"
1562,"Pilot Fregith Services","10+ years"
1563,"Louis Vuitton","1 year"
1564,"The University Club","10+ years"
1565,"Draft FCB","1 year"
1566,"St. Rose San Martin","5 years"
1567,"University Primary Care","2 years"
1568,"crown plaza manhattan","10+ years"
1569,"Prairie du Chien Memorial Hospital","5 years"
1570,"Responsive Learning Technologies","3 years"
1571,"Fisher Scientific","3 years"
1572,"Qualtek Manufacturing","3 years"
1573,"Micro/Sys","2 years"
1574,"Newark Public Schools","5 years"
1575,"institute for family health","3 years"
1576,"Above the Title Ent.","2 years"
1577,"Chester Mental Health Center","7 years"
1578,"chevron station","5 years"
1579,"Jim Kearney- State Farm","7 years"
1580,"Total Document Solutions Inc.","10+ years"
1581,"State of NC ITS","6 years"
1582,"San Francisco Public Library","10+ years"
1583,"AMS Design Inc.","5 years"
1584,"Ohio Attorney General","1 year"
1585,"Halperin Lyman LLC","4 years"
